Report,Elapsed Time (s),CPI Rate,Retiring (%),Front-End Bound (%),Bad Speculation (%),Memory Bound (%),Core Bound (%),Average CPU Frequency (GHz)
544_2300_0,118.986,0.595,41.4,3.5,10.1,11.6,33.4,2.294
544_2300_1,118.658,0.594,41.8,3.7,10.1,11.3,33.1,2.294
544_2300_2,118.831,0.595,41.4,3.9,10.9,11.2,32.7,2.295
544_2300_3,118.820,0.595,41.2,3.6,11.0,11.1,33.1,2.294
544_2300_4,118.533,0.593,41.7,3.9,10.2,11.3,33.0,2.294
544_2400_0,113.256,0.592,42.1,3.7,9.9,11.1,33.2,2.393
544_2400_1,113.271,0.592,41.7,3.9,10.7,11.1,32.7,2.394
544_2400_2,112.974,0.591,41.7,3.5,10.5,11.1,33.1,2.394
544_2400_3,113.390,0.593,41.6,4.1,10.2,11.1,32.9,2.394
544_2400_4,113.225,0.592,42.1,3.6,10.2,11.0,33.1,2.393
544_2500_0,109.096,0.594,41.4,4.1,9.9,11.4,33.2,2.493
544_2500_1,108.697,0.591,41.5,3.6,9.0,11.3,34.5,2.493
544_2500_2,108.850,0.592,41.8,3.6,10.3,11.1,33.2,2.494
544_2500_3,108.868,0.592,41.7,3.6,10.7,11.5,32.6,2.494
544_2500_4,108.825,0.592,41.9,3.6,10.2,11.5,32.8,2.494
544_2600_0,104.559,0.592,41.6,4.2,11.5,10.8,31.9,2.593
544_2600_1,104.549,0.592,41.6,3.6,11.0,11.1,32.7,2.593
544_2600_2,104.632,0.593,41.8,3.6,10.3,11.2,33.1,2.593
544_2600_3,104.485,0.592,41.4,3.8,11.8,10.8,32.1,2.594
544_2600_4,104.661,0.593,41.5,3.7,10.5,11.2,33.0,2.593
544_3700_0,73.938,0.594,42.0,3.4,9.7,11.3,33.6,3.678
544_3700_1,73.814,0.593,41.7,3.5,10.7,11.3,32.9,3.679
544_3700_2,73.706,0.592,41.8,3.7,10.9,11.0,32.6,3.678
544_3700_3,73.748,0.593,41.5,3.7,11.6,11.0,32.2,3.679
544_3700_4,73.702,0.592,41.8,3.8,11.0,11.2,32.2,3.681
549_1000_0,87.207,0.445,54.9,5.9,0.7,19.5,19.0,0.997506
549_1000_1,87.718,0.448,55.0,5.8,0.8,17.0,21.5,0.9977820000000001
549_1000_2,87.329,0.446,54.3,5.7,0.6,18.8,20.6,0.997506
549_1000_3,87.040,0.444,55.0,5.9,1.2,16.2,21.6,0.997656
549_1000_4,87.326,0.446,53.0,5.8,0.9,19.9,20.4,0.99761
549_1100_0,81.120,0.455,53.2,5.6,1.1,19.9,20.0,1.097
549_1100_1,81.303,0.457,51.8,5.9,1.1,24.4,16.9,1.097
549_1100_2,81.152,0.456,53.4,5.9,1.1,18.8,20.9,1.097
549_1100_3,81.166,0.456,53.6,6.1,1.1,18.3,20.9,1.097
549_1100_4,81.142,0.455,53.5,5.8,1.2,18.7,20.9,1.097
549_1200_0,75.052,0.460,54.5,5.5,0.8,18.7,20.5,1.196
549_1200_1,75.620,0.463,51.7,5.9,0.8,18.7,23.0,1.197
549_1200_2,74.794,0.458,52.9,6.1,0.6,19.1,21.3,1.196
549_1200_3,74.903,0.459,52.5,6.0,0.8,19.3,21.3,1.196
549_1200_4,75.407,0.462,53.4,5.6,0.7,20.0,20.3,1.197
549_1300_0,70.429,0.467,51.8,5.4,0.7,21.5,20.6,1.297
549_1300_1,70.240,0.466,51.7,5.5,0.7,22.0,20.1,1.297
549_1300_2,70.661,0.469,56.7,5.6,1.1,12.6,24.0,1.297
549_1300_3,70.647,0.469,57.8,5.4,1.2,10.6,25.0,1.297
549_1300_4,69.656,0.462,54.5,6.1,1.1,20.1,18.2,1.296
549_1500_0,62.953,0.482,52.3,5.6,1.1,23.3,17.7,1.496
549_1500_1,62.900,0.482,48.3,5.5,0.6,23.8,21.7,1.496
549_1500_2,62.516,0.479,52.1,5.5,1.2,22.8,18.4,1.496
549_1500_3,63.028,0.483,49.5,5.7,0.6,25.0,19.1,1.495
549_1500_4,62.849,0.481,50.3,5.5,0.5,21.0,22.7,1.495
549_1600_0,59.924,0.490,49.7,5.4,1.1,23.9,20.0,1.595
549_1600_1,59.340,0.485,50.1,5.8,1.0,23.9,19.2,1.596
549_1600_2,59.696,0.488,49.9,5.4,0.6,24.3,19.9,1.595
549_1600_3,59.640,0.487,50.5,5.4,1.0,22.8,20.3,1.596
549_1600_4,59.985,0.490,48.7,5.5,1.0,25.4,19.5,1.596
549_1700_0,57.118,0.496,48.0,5.1,0.7,25.0,21.2,1.695
549_1700_1,56.608,0.492,49.5,5.4,0.7,24.6,19.7,1.695
549_1700_2,57.064,0.495,49.8,5.4,1.0,24.7,19.2,1.695
549_1700_3,56.856,0.494,49.1,5.5,0.6,25.1,19.7,1.695
549_1700_4,56.556,0.491,49.4,5.4,0.6,24.6,20.0,1.695
549_1800_0,54.003,0.497,50.0,5.1,1.1,21.7,22.2,1.795
549_1800_1,54.713,0.503,44.8,5.1,0.6,30.1,19.3,1.795
549_1800_2,55.010,0.506,45.7,5.8,1.0,30.5,17.1,1.794
549_1800_3,54.934,0.505,56.3,5.1,1.0,27.5,10.0,1.795
549_1800_4,54.507,0.501,51.1,5.1,1.0,22.3,20.6,1.794
549_1900_0,53.043,0.515,45.5,5.2,0.9,29.2,19.2,1.895
549_1900_1,52.493,0.510,48.6,4.9,0.9,25.3,20.2,1.895
549_1900_2,52.713,0.511,49.8,5.0,1.0,27.4,16.8,1.895
549_1900_3,52.185,0.506,47.8,5.0,1.0,28.4,17.8,1.894
549_1900_4,52.995,0.514,47.7,4.9,0.9,25.3,21.2,1.895
549_2000_0,49.981,0.511,48.5,5.2,0.9,26.4,19.0,1.994
549_2000_1,50.709,0.518,48.1,5.9,0.9,27.1,17.9,1.994
549_2000_2,50.734,0.518,47.8,5.6,1.0,28.2,17.4,1.995
549_2000_3,50.313,0.514,47.8,5.2,0.9,29.2,16.9,1.993
549_2000_4,51.038,0.521,46.1,5.1,1.0,28.9,18.8,1.993
549_2100_0,49.078,0.527,46.4,5.0,0.6,29.7,18.3,2.094
549_2100_1,48.429,0.520,48.4,5.3,1.1,27.2,18.0,2.094
549_2100_2,49.326,0.529,45.8,5.1,0.6,29.0,19.5,2.094
549_2100_3,48.343,0.519,46.3,5.4,0.9,27.5,19.8,2.094
549_2100_4,49.141,0.527,46.6,5.2,0.6,28.4,19.2,2.094
549_2300_0,46.194,0.543,44.6,5.1,0.9,33.0,16.4,2.294
549_2300_1,46.091,0.542,44.3,5.1,1.0,33.2,16.4,2.292
549_2300_2,45.578,0.536,46.8,5.2,0.9,29.5,17.6,2.294
549_2300_3,46.189,0.543,44.9,5.1,0.9,33.0,16.2,2.292
549_2300_4,45.903,0.539,46.0,5.0,1.0,29.2,18.9,2.293
549_2400_0,45.117,0.553,44.5,5.1,0.6,33.1,16.7,2.392
549_2400_1,44.657,0.548,43.3,5.7,0.6,30.5,19.9,2.393
549_2400_2,44.998,0.552,44.2,5.0,0.7,33.3,16.7,2.393
549_2400_3,44.808,0.550,45.5,5.0,0.9,31.7,16.9,2.393
549_2400_4,44.916,0.551,45.4,5.0,1.0,31.4,17.2,2.393
549_2500_0,44.265,0.566,44.7,4.6,1.0,36.2,13.5,2.493
549_2500_1,43.599,0.557,44.1,4.7,0.9,34.8,15.5,2.49
549_2500_2,44.042,0.563,43.7,4.7,0.9,34.1,16.6,2.492
549_2500_3,44.043,0.563,43.9,4.9,0.5,34.2,16.4,2.492
549_2500_4,44.119,0.564,42.5,4.8,0.9,33.6,18.2,2.493
549_2600_0,42.031,0.559,44.5,4.7,0.9,28.7,21.1,2.592
549_2600_1,42.421,0.564,43.6,4.8,0.9,33.0,17.6,2.593
549_2600_2,42.616,0.566,43.2,4.7,0.9,35.3,15.9,2.593
549_2600_3,42.740,0.568,44.0,4.6,1.0,31.1,19.2,2.592
549_2600_4,42.680,0.567,43.8,4.8,0.9,34.1,16.6,2.591
549_3700_0,35.841,0.676,36.4,4.1,0.5,45.0,14.0,3.683
549_3700_1,36.490,0.689,35.3,4.3,0.8,48.5,11.2,3.685
549_3700_2,36.343,0.686,37.3,4.1,0.8,38.9,18.8,3.684
549_3700_3,35.689,0.673,36.2,4.2,0.7,46.0,12.9,3.679
549_3700_4,36.356,0.686,36.3,4.1,0.4,43.7,15.4,3.682
554_1000_0,447.603,0.406,60.0,3.8,1.3,11.4,23.5,0.9975879999999999
554_1000_1,447.869,0.406,60.0,3.9,1.3,11.8,23.0,0.997642
554_1000_2,447.639,0.406,60.0,3.8,1.4,11.7,23.1,0.997503
554_1000_3,448.621,0.406,59.7,3.8,1.3,11.9,23.2,0.997463
554_1100_0,411.210,0.410,59.3,3.7,1.3,12.5,23.1,1.097
554_1100_1,411.614,0.410,59.3,3.7,1.3,12.6,23.1,1.097
554_1100_2,411.406,0.410,59.0,3.8,1.3,12.7,23.2,1.097
554_1100_3,410.703,0.409,59.3,3.8,1.3,12.7,22.8,1.097
554_1100_4,411.023,0.410,59.3,3.7,1.3,12.6,23.1,1.097
554_1200_0,380.917,0.414,59.0,3.6,1.3,13.5,22.4,1.197
554_1200_1,380.897,0.414,58.7,3.7,1.3,13.4,22.8,1.197
554_1200_2,380.913,0.414,58.5,3.7,1.3,13.8,22.6,1.197
554_1200_3,381.052,0.414,58.8,3.6,1.3,13.3,23.0,1.197
554_1200_4,380.750,0.414,58.6,3.7,1.3,13.8,22.6,1.197
554_1300_0,356.655,0.419,57.7,3.7,1.2,14.4,23.0,1.296
554_1300_1,357.077,0.420,57.9,3.6,1.3,14.4,22.7,1.297
554_1300_2,356.425,0.419,58.0,3.5,1.3,14.3,22.8,1.297
554_1300_3,356.663,0.420,58.1,3.7,1.3,14.4,22.6,1.297
554_1300_4,357.094,0.420,57.8,3.6,1.3,14.5,22.8,1.297
554_1500_0,316.564,0.430,56.7,3.5,1.3,16.4,22.1,1.496
554_1500_1,317.024,0.431,56.4,3.5,1.3,16.8,22.1,1.496
554_1500_2,316.325,0.430,56.4,3.5,1.3,16.8,22.0,1.496
554_1500_3,315.656,0.429,56.6,3.6,1.3,16.4,22.1,1.497
554_1500_4,315.869,0.429,56.6,3.5,1.3,16.5,22.1,1.496
554_1600_0,299.894,0.435,55.9,3.6,1.3,17.5,21.7,1.596
554_1600_1,300.236,0.435,55.6,3.7,1.3,17.5,22.0,1.596
554_1600_2,301.017,0.436,55.4,3.6,1.3,17.8,22.0,1.596
554_1600_3,300.001,0.435,55.9,3.5,1.3,17.6,21.7,1.596
554_1600_4,300.304,0.436,55.8,3.5,1.3,17.4,22.0,1.596
554_1700_0,285.412,0.440,55.5,3.6,1.2,18.9,20.8,1.696
554_1700_1,285.650,0.440,55.4,3.5,1.2,18.4,21.5,1.696
554_1700_2,286.114,0.441,55.2,3.4,1.2,18.3,21.9,1.696
554_1700_3,286.527,0.441,54.9,3.5,1.3,18.0,22.3,1.696
554_1700_4,285.069,0.439,55.3,3.5,1.2,17.9,22.1,1.695
554_1800_0,272.375,0.444,54.9,3.4,1.2,19.0,21.5,1.795
554_1800_1,272.517,0.444,54.9,3.4,1.2,18.8,21.6,1.795
554_1800_2,273.310,0.446,54.4,3.4,1.2,19.4,21.5,1.796
554_1800_3,272.862,0.445,54.7,3.5,1.2,19.5,21.1,1.796
554_1800_4,272.245,0.444,54.8,3.5,1.2,18.8,21.7,1.796
554_1900_0,261.230,0.450,54.4,3.4,1.2,19.7,21.4,1.895
554_1900_1,260.866,0.449,54.2,3.4,1.2,19.5,21.8,1.895
554_1900_2,261.187,0.450,54.3,3.4,1.2,19.8,21.3,1.895
554_1900_3,261.138,0.450,54.6,3.4,1.2,19.3,21.4,1.896
554_1900_4,261.275,0.450,54.1,3.4,1.2,20.3,21.0,1.895
554_2000_0,250.267,0.453,54.1,3.3,1.2,19.8,21.6,1.995
554_2000_1,250.324,0.453,54.0,3.3,1.2,20.2,21.4,1.995
554_2000_2,251.012,0.454,54.0,3.3,1.2,19.7,21.9,1.995
554_2000_3,250.024,0.452,53.8,3.3,1.2,19.5,22.2,1.995
554_2000_4,251.029,0.454,53.8,3.4,1.2,20.1,21.6,1.995
554_2100_0,240.068,0.456,53.4,3.4,1.2,21.1,20.9,2.095
554_2100_1,239.727,0.455,53.2,3.3,1.2,21.2,21.0,2.095
554_2100_2,240.874,0.458,53.3,3.4,1.2,21.0,21.1,2.095
554_2100_3,240.285,0.456,53.2,3.5,1.2,21.0,21.2,2.095
554_2100_4,240.422,0.457,53.5,3.3,1.2,21.2,20.8,2.095
554_2300_0,220.718,0.460,52.8,3.3,1.2,22.1,20.5,2.295
554_2300_1,220.407,0.459,52.4,3.2,1.2,21.9,21.3,2.294
554_2300_2,220.899,0.460,52.8,3.4,1.2,21.5,21.1,2.294
554_2300_3,220.947,0.460,52.9,3.3,1.2,21.4,21.2,2.295
554_2300_4,220.841,0.460,52.9,3.3,1.2,21.3,21.4,2.295
554_2400_0,214.224,0.466,52.6,3.8,1.2,21.9,20.6,2.394
554_2400_1,212.571,0.462,52.4,3.3,1.2,22.3,20.7,2.394
554_2400_2,212.746,0.463,52.7,3.5,1.2,21.8,20.8,2.394
554_2400_3,213.095,0.463,52.3,3.2,1.2,22.0,21.3,2.393
554_2400_4,212.212,0.461,52.4,3.2,1.2,21.8,21.4,2.394
554_2500_0,205.329,0.465,52.0,3.2,1.2,23.4,20.2,2.493
554_2500_1,204.566,0.463,52.2,3.2,1.1,22.7,20.7,2.494
554_2500_2,204.958,0.464,52.3,3.3,1.2,22.9,20.2,2.494
554_2500_3,206.112,0.467,52.6,3.4,1.2,22.9,20.0,2.494
554_2500_4,204.688,0.464,52.3,3.4,1.2,22.2,21.0,2.493
554_2600_0,188.860,0.445,54.7,3.4,1.2,19.6,21.1,2.593
554_2600_1,189.291,0.447,54.4,3.7,1.2,19.6,21.0,2.594
554_2600_2,188.835,0.445,54.8,3.5,1.2,19.4,21.1,2.593
554_2600_3,188.699,0.445,54.9,3.4,1.2,19.8,20.6,2.593
554_2600_4,187.510,0.442,55.1,3.4,1.2,19.4,20.9,2.594
554_3700_0,147.772,0.491,49.4,3.4,1.1,25.9,20.2,3.663
554_3700_1,146.719,0.488,49.6,3.1,1.1,25.9,20.3,3.664
554_3700_2,146.203,0.485,50.0,3.2,1.1,25.6,20.0,3.659
554_3700_3,147.802,0.491,49.0,3.4,1.1,26.0,20.5,3.661
554_3700_4,146.752,0.488,48.6,3.1,1.2,27.1,20.0,3.663
