Report,Elapsed Time (s),CPI Rate,Retiring (%),Front-End Bound (%),Bad Speculation (%),Memory Bound (%),Core Bound (%),Average CPU Frequency (GHz)
507_1800_3,54.169,0.643,39.2,4.0,0.1,22.3,34.3,1.795
507_1800_4,54.186,0.643,39.7,3.9,0.3,23.5,32.7,1.794
507_1900_0,52.138,0.653,38.6,4.1,0.3,24.6,32.6,1.896
507_1900_1,51.957,0.651,38.7,4.3,0.1,23.7,33.3,1.895
507_1900_2,52.010,0.651,38.2,4.4,0.1,25.8,31.5,1.894
507_1900_3,52.030,0.652,38.6,4.1,0.2,25.2,32.0,1.895
507_1900_4,52.083,0.653,38.6,4.2,0.1,25.0,32.2,1.894
507_2000_0,50.013,0.659,38.3,4.1,0.1,25.2,32.3,1.994
507_2000_1,50.088,0.660,38.8,3.9,0.1,24.2,32.9,1.993
507_2000_2,50.218,0.662,38.4,3.9,0.1,24.7,32.9,1.993
507_2000_3,50.274,0.663,38.7,4.1,0.1,24.5,32.7,1.994
507_2000_4,50.027,0.660,38.5,4.3,0.2,24.5,32.6,1.995
507_2100_0,48.457,0.670,37.8,3.9,0.1,26.1,32.1,2.092
507_2100_1,48.424,0.670,37.9,4.2,0.1,24.8,33.0,2.094
507_2100_2,48.417,0.670,37.9,3.9,0.1,25.4,32.8,2.095
507_2100_3,48.391,0.670,38.0,4.1,0.1,25.3,32.6,2.094
507_2100_4,48.462,0.671,37.8,3.8,0.1,26.1,32.2,2.094
507_2300_0,44.261,0.670,37.8,3.7,0.1,26.2,32.2,2.291
507_2300_1,44.233,0.670,37.3,4.0,0.3,26.9,31.5,2.293
507_2300_2,44.339,0.672,37.7,4.0,0.1,27.1,31.2,2.294
507_2300_3,44.109,0.668,37.9,3.9,0.2,25.7,32.4,2.293
507_2300_4,44.098,0.668,37.9,3.9,0.1,25.4,32.7,2.294
507_2400_0,42.493,0.672,38.0,3.9,0.1,26.4,31.6,2.392
507_2400_1,42.621,0.675,36.5,4.6,0.1,26.8,32.0,2.393
507_2400_2,42.600,0.674,37.5,3.8,0.1,26.0,32.7,2.393
507_2400_3,42.584,0.674,37.6,3.9,0.2,24.9,33.4,2.393
507_2400_4,42.826,0.678,36.9,3.7,0.2,26.5,32.7,2.392
507_2500_0,41.048,0.676,37.0,4.1,0.1,26.3,32.5,2.493
507_2500_1,41.049,0.676,37.3,3.6,0.1,26.1,32.9,2.493
507_2500_2,41.360,0.681,37.1,6.4,0.2,22.0,34.3,2.491
507_2500_3,40.924,0.674,37.5,5.9,0.1,25.5,31.0,2.492
507_2500_4,40.934,0.674,37.5,3.7,0.2,24.6,34.1,2.492
507_2600_0,36.880,0.632,39.7,3.8,0.1,23.2,33.2,2.592
507_2600_1,36.796,0.631,39.6,3.9,0.1,22.3,34.0,2.592
507_2600_2,36.796,0.631,40.0,3.8,0.1,22.9,33.2,2.591
507_2600_3,36.859,0.632,39.8,3.8,0.1,22.3,34.0,2.591
507_2600_4,36.804,0.632,39.4,4.3,0.1,23.5,32.8,2.592
507_3700_0,28.460,0.689,36.5,3.6,0.2,26.5,33.3,3.665
507_3700_1,28.333,0.686,36.9,3.5,0.2,27.5,31.9,3.666
507_3700_2,28.429,0.689,35.8,3.8,0.2,27.5,32.7,3.666
507_3700_3,28.393,0.688,36.4,3.6,0.1,28.5,31.5,3.666
507_3700_4,28.440,0.688,36.7,3.8,0.1,27.3,32.2,3.663
508_1000_0,107.059,0.373,66.8,2.2,4.6,3.4,23.1,0.997187
508_1000_1,106.650,0.371,67.4,2.3,4.2,3.2,22.9,0.997618
508_1000_2,106.632,0.371,67.2,2.3,4.2,3.5,22.8,0.997298
508_1000_3,106.832,0.372,66.8,2.3,4.6,3.4,22.8,0.9974489999999999
508_1000_4,106.623,0.371,67.9,2.3,4.3,3.1,22.5,0.997298
508_1100_0,96.742,0.371,67.3,2.3,4.2,3.4,22.7,1.097
508_1100_1,97.222,0.373,67.2,2.3,4.2,3.4,22.9,1.097
508_1100_2,98.142,0.376,66.5,2.2,4.2,3.7,23.4,1.097
508_1100_3,97.002,0.372,67.6,2.3,4.2,3.3,22.5,1.097
508_1100_4,97.273,0.373,67.1,2.2,4.6,3.4,22.8,1.097
508_1200_0,89.071,0.372,66.6,2.3,4.1,3.5,23.5,1.197
508_1200_1,89.791,0.375,66.7,2.2,4.1,3.4,23.5,1.197
508_1200_2,88.933,0.372,66.3,2.2,4.2,3.5,23.8,1.197
508_1200_3,89.756,0.375,66.5,2.2,4.1,3.5,23.7,1.197
508_1200_4,89.027,0.372,66.8,2.3,4.1,3.7,23.1,1.197
508_1300_0,82.470,0.373,67.5,2.2,4.6,3.3,22.4,1.296
508_1300_1,82.088,0.371,67.4,2.3,4.1,3.4,22.7,1.297
508_1300_2,83.121,0.376,66.0,2.6,5.1,3.5,22.8,1.296
508_1300_3,82.513,0.373,67.5,2.3,4.2,3.3,22.7,1.297
508_1300_4,82.116,0.372,67.3,2.3,4.2,3.4,22.7,1.297
508_1500_0,71.787,0.375,66.5,2.3,4.1,3.5,23.7,1.496
